"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-structure-conservation","fr-lm-structure-conservation","","","",1,1,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Structure conservation","Structure chargée de la conservation du document, c'est-à-dire de garder physiquement le document qui lui est confié tout en garantissant son cycle de vie.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-structure-conservation.structure","fr-lm-structure-conservation.structure","","","",1,1,"","","","Base {[]} {[]}
","Structure","Structure","","","","","","","","","",,,,,"",,,,"fr-lm-structure-conservation.structure",1,1,"",""
"fr-lm-structure-conservation.structure.identifiantStructure","fr-lm-structure-conservation.structure.identifiantStructure","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de la structure","Identifiant de la structure","","","","","","","","","",,,,,"",,,,"fr-lm-structure-conservation.structure.identifiantStructure",1,1,"",""
"fr-lm-structure-conservation.structure.nomStructure","fr-lm-structure-conservation.structure.nomStructure","","","",0,1,"","","","string {[]} {[]}
","Nom de la structure","Nom de la structure","","","","","","","","","",,,,,"",,,,"fr-lm-structure-conservation.structure.nomStructure",0,1,"",""
"fr-lm-structure-conservation.structure.coordonneesTelecom","fr-lm-structure-conservation.structure.coordonneesTelecom","","","",0,1,"","","","ContactPoint {[]} {[]}
","Coordonnées télécom","Coordonnées télécom","","","","","","","","","",,,,,"",,,,"fr-lm-structure-conservation.structure.coordonneesTelecom",0,1,"",""
"fr-lm-structure-conservation.structure.adresse","fr-lm-structure-conservation.structure.adresse","","","",0,1,"","","","Address {[]} {[]}
","Adresse géopostale","Adresse géopostale","","","","","","","","","",,,,,"",,,,"fr-lm-structure-conservation.structure.adresse",0,1,"",""
